epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4192,0.22593,2.2288,0.99032,0.61554,0.63082,0.67514,0.64996,0.26217,1.3145,0.52441,0.000255609,0.000255609,0.000255609
2,123.284,0.14999,1.44773,0.91653,0.6093,0.639,0.68507,0.67772,0.2361,1.19151,0.50123,0.000501806,0.000501806,0.000501806
3,176.894,0.14647,1.29087,0.9088,0.61128,0.60441,0.65086,0.62924,0.21881,1.36838,0.48109,0.000737852,0.000737852,0.000737852
4,231.955,0.13563,1.19995,0.90597,0.66964,0.68925,0.75086,0.72595,0.27084,1.04757,0.52499,0.000723321,0.000723321,0.000723321
5,300.561,0.11962,1.10628,0.89927,0.74905,0.62749,0.76504,0.75207,0.17899,0.95575,0.43125,0.000708095,0.000708095,0.000708095
6,363.231,0.11237,1.04545,0.89235,0.76699,0.75548,0.84708,0.83753,0.2192,0.80581,0.48673,0.000692869,0.000692869,0.000692869
7,440.515,0.10733,0.99626,0.89219,0.66941,0.6957,0.76652,0.75505,0.19612,1.03509,0.45163,0.000677643,0.000677643,0.000677643
8,518.928,0.09991,0.96011,0.88554,0.7206,0.74565,0.81868,0.80927,0.20376,0.87686,0.45364,0.000662417,0.000662417,0.000662417
9,582.605,0.09788,0.92142,0.88718,0.77419,0.7547,0.83788,0.83435,0.20019,0.74511,0.45203,0.00064719,0.00064719,0.00064719
10,659.397,0.0902,0.89171,0.88279,0.75821,0.72131,0.81995,0.80801,0.18179,0.83204,0.41949,0.000631964,0.000631964,0.000631964
11,719.782,0.09074,0.86854,0.88469,0.78235,0.74836,0.85201,0.84537,0.17811,0.77232,0.43338,0.000616738,0.000616738,0.000616738
12,791.916,0.08552,0.8488,0.88327,0.75507,0.69927,0.8246,0.82115,0.16917,0.88523,0.41402,0.000601512,0.000601512,0.000601512
13,848.589,0.08193,0.80568,0.88114,0.84593,0.70053,0.86186,0.85794,0.1615,0.7582,0.4066,0.000586286,0.000586286,0.000586286
14,902.456,0.07787,0.77822,0.88086,0.83811,0.8024,0.88543,0.8833,0.175,0.60892,0.42899,0.000571059,0.000571059,0.000571059
15,960.599,0.07825,0.76871,0.87954,0.82514,0.78824,0.89138,0.88278,0.1732,0.65385,0.40632,0.000555833,0.000555833,0.000555833
16,1024.47,0.07595,0.75832,0.87556,0.83222,0.82091,0.89956,0.89292,0.15264,0.63698,0.39472,0.000540607,0.000540607,0.000540607
17,1093.65,0.07396,0.74819,0.87933,0.83732,0.79999,0.91111,0.9082,0.15754,0.61554,0.40062,0.000525381,0.000525381,0.000525381
18,1154.7,0.0704,0.70596,0.87676,0.84148,0.79173,0.89685,0.89275,0.12633,0.59399,0.36698,0.000510155,0.000510155,0.000510155
19,1223.9,inf,0.7051,0.87966,0.85445,0.81336,0.90312,0.89311,0.16214,0.5646,0.40552,0.000494928,0.000494928,0.000494928
20,1285.99,0.06947,0.66454,0.87846,0.83783,0.80908,0.89348,0.88662,0.17787,0.62011,0.41936,0.000479702,0.000479702,0.000479702
21,1345.1,0.06751,0.65491,0.87756,0.83696,0.78706,0.89888,0.89058,0.13536,0.57856,0.37602,0.000464476,0.000464476,0.000464476
22,1408.94,0.06603,0.65838,0.87445,0.89205,0.81255,0.92206,0.91775,0.16065,0.51011,0.39812,0.00044925,0.00044925,0.00044925
23,1465.78,0.06313,0.62853,0.87584,0.87297,0.85013,0.92983,0.92659,0.12721,0.45881,0.36312,0.000434024,0.000434024,0.000434024
24,1529.84,0.06201,0.62339,0.87666,0.85097,0.81508,0.90884,0.90594,0.14057,0.56766,0.38103,0.000418797,0.000418797,0.000418797
25,1586.01,0.06119,0.61344,0.87536,0.86193,0.83961,0.91497,0.91061,0.14222,0.53192,0.3846,0.000403571,0.000403571,0.000403571
